order_id,user_id,promo_id,address_id,created_at,order_cost,shipping_cost,order_total,tracking_id,shipping_service,estimated_delivery_at,delivered_at,status
1747e0c2-2649-4b8b-8048-540425302a8f,e512189a-15a2-4325-b41d-6092f5c03bc9,,2c7bd191-c7c9-45d3-9dd0-612320bd9817,2021-02-10 10:35:38,562.90,6.11,569.01,fcf6a653-9018-4469-8b5f-4f0013accc40,ups,2021-02-13 10:35:38,2021-02-12 10:35:38,delivered
1eb77dda-3387-4242-ba28-0b371ea785cf,393de08c-725c-457a-a591-16030480eb80,,06dd400a-9d9e-48f3-9312-5a41f6038c8e,2021-02-10 15:22:56,373.85,3.23,377.08,6c36bdd9-d673-459b-932c-0a290b5a040c,fedex,2021-02-13 15:22:56,,shipped
529bcc4d-8fcc-42b5-b4c5-a0e2c8886686,f47ac0f5-2afa-4e71-8328-bd881947159b,,e6572a36-e4ae-4daa-8c05-692490c310a1,2021-02-10 07:33:27,82.00,6.37,88.37,063a7d43-ce96-4706-9be7-b92bea08910c,fedex,2021-02-11 07:33:27,2021-02-15 07:33:27,delivered
d0cc9fd6-0ce6-42a4-a77e-fabb1b0962da,7025daf6-54d9-44be-8282-7923def85169,instruction set,65ef7b5a-11db-4544-89a8-44e15f1a986f,2021-02-10 20:17:35,565.00,7.48,559.48,08880247-e7f5-4f27-afea-c2c78a285a08,ups,2021-02-12 20:17:35,2021-02-13 20:17:35,delivered
5f078a73-bc4b-4231-9c91-144060234d49,c3a44de4-e6c8-4d02-93df-aff409356087,,d3dfe1e5-6826-49fe-9bfb-ef1022a20520,2021-02-10 15:11:37,206.00,4.85,210.85,e4f0bf93-4747-4e90-a3e3-fc3131895037,ups,2021-02-13 15:11:37,2021-02-13 15:11:37,delivered
2973c405-100e-4ece-af7f-077783132b3c,60bc96e0-dcf5-438d-8e11-7ab3f6ac6e96,,299ec70d-f1e7-4807-9d0e-6fd86e3ebcab,2021-02-10 04:30:24,254.00,7.63,261.63,bdff250d-3d01-49e9-a4cd-4ae18bed9cb5,dhl,2021-02-12 04:30:24,2021-02-11 04:30:24,delivered
01e059c6-9aee-4dfe-b5b5-8c403bb21a82,db41a6d4-70fc-43b1-82a5-393b46a2bdfa,Optional,9285957a-e1fd-4205-960e-f739a9c7dfd2,2021-02-10 12:51:19,45.75,9.72,38.47,b3dcd35d-2d18-4e48-b35f-57ddacbcb8d0,usps,2021-02-14 12:51:19,2021-02-11 12:51:19,delivered
40f5d51c-0a3c-481a-96e8-0784818e082d,6b116938-3785-4983-a5d7-33f6af32f0ba,,18e90fce-7517-42c3-bd20-7028608da7df,2021-02-10 17:47:04,191.75,5.31,197.06,9a9f20cc-e4f1-46d8-8fb3-96afc46d1824,fedex,2021-02-12 17:47:04,2021-02-11 17:47:04,delivered
a11ec73d-efcb-4918-be37-fa6f812d22de,96aa719e-c5a3-4645-ba89-16c304fb59b0,,bc355137-f7dd-4461-83d3-f288994d450a,2021-02-10 19:10:46,726.75,7.28,734.03,6904e80a-7ac3-47c9-80ae-79f1e0e7401f,ups,2021-02-15 19:10:46,2021-02-16 19:10:46,delivered
0ec01f36-fc49-456b-8ca5-7a7d5ea50df5,c42fc8e5-9ab6-4fbf-84bf-40ff309bf24c,,d0042646-63e0-434e-874c-aec1d434f2df,2021-02-10 06:45:40,45.50,8.89,54.39,732d71e6-3811-4867-a00f-2058c0d148cd,ups,,2021-02-11 06:45:40,delivered
bb219a8e-f747-4cc5-ac19-9f505baed9ff,6b116938-3785-4983-a5d7-33f6af32f0ba,,6b49d7c6-6ede-4a8a-ade1-ec5888c7ce14,2021-02-10 06:06:56,358.00,4.73,362.73,859c2d79-309b-4fc5-8133-78a0b2787950,ups,2021-02-12 06:06:56,2021-02-13 06:06:56,delivered
03232fbc-033a-4ba9-b0d7-195b987682ef,2f0a3789-41ac-4732-bf29-b3ea5f4ed831,,632eadda-3e81-492c-8108-d5982aeac84d,2021-02-10 01:30:52,342.00,5.83,347.83,824da197-861b-4e3f-be1a-3abad6af5eb7,ups,2021-02-15 01:30:52,2021-02-17 01:30:52,delivered
5f994f7e-2e13-4720-99ed-cfbdcdfd6e2a,5555f2b6-d408-419f-aa60-22c0f0440f50,leverage,25caf41f-ca5a-4cbb-bc2c-b5d9fcebe66b,2021-02-10 04:51:03,228.60,8.65,227.25,f1e5ee01-bd53-49da-b285-79aea19ec95e,ups,2021-02-13 04:51:03,2021-02-16 04:51:03,delivered
608b352f-dc9d-4f97-bcd3-a6f0d9b567f4,79bdfd27-a0a7-4e4f-9d75-0c12c72ce7f1,,131db634-55f8-4fb6-98f3-624ec32a94b8,2021-02-10 01:56:15,203.00,5.76,208.76,52056c0d-c476-43e4-be74-d4bc28c48b3b,ups,2021-02-11 01:56:15,2021-02-16 01:56:15,delivered
630bc8fb-239e-49e8-9911-90f5ee5637c6,4d3c9f53-0667-4a80-8259-12200fe75761,leverage,63fdd7ef-51f3-49e2-bdf2-22d46f68aacf,2021-02-10 00:06:54,203.00,8.71,201.71,b794e761-fa97-461b-aa7b-b2d9b5c96de8,ups,2021-02-11 00:06:54,2021-02-17 00:06:54,delivered
682824be-efb5-4ff6-a61b-70342f7d7606,f47ac0f5-2afa-4e71-8328-bd881947159b,leverage,4747877b-fb7d-4ec1-b42d-6b8f8707c984,2021-02-10 12:28:15,270.50,6.25,266.75,425c0e55-9655-4e31-86a9-6c3cc1584ebb,ups,2021-02-13 12:28:15,2021-02-11 12:28:15,delivered
12c0a32d-2471-465f-9337-14b221af4fc3,bbe518c7-5ea8-444e-acef-6c18be8336bc,,89f9c593-3ac8-4f50-ab01-01b4a2e27eaa,2021-02-10 04:29:17,96.75,7.68,104.43,d5d92e88-1640-42f5-9617-411774869eff,fedex,2021-02-12 04:29:17,2021-02-14 04:29:17,delivered
adbf3aa7-d301-46ea-873a-d8bc0d84d285,376bc5b4-cb91-4fa3-9083-7dd7f1caa872,,02331e89-1736-4f12-85b9-ddd62545214b,2021-02-10 23:45:52,70.00,6.72,76.72,4f0b2205-72ce-4c12-820f-88ffc4aad8c5,usps,2021-02-15 23:45:52,2021-02-16 23:45:52,delivered
e85b50e8-357e-45ff-8b8d-1890b9b7d0f0,9cfa05e2-606b-4080-8bac-96e3986f1704,,53983579-4a64-432a-941e-c3d9c886bd77,2021-02-10 09:11:47,205.30,5.69,210.99,080d8966-d058-4476-921e-19ee95bbd681,ups,2021-02-12 09:11:47,2021-02-14 09:11:47,delivered
08a14677-500a-4814-a60a-d83c3f6a8a37,2a6f290c-40f8-4705-89d9-e8aeb6a4fa7b,,280bb1a8-d59e-4ada-b479-a4d47163130e,2021-02-10 13:22:13,457.00,7.06,464.06,45273ecc-4321-4063-bc7c-786ea0f57634,ups,2021-02-13 13:22:13,2021-02-13 13:22:13,delivered
7d0f805e-b354-4c27-b55d-310e49d06e4e,48fd8fef-ef87-4609-aac6-a8495b2feb50,,1d3482c6-e56b-47df-91f8-4b32bc908b2b,2021-02-10 17:49:57,288.75,5.44,294.19,2270a0a4-e44c-4e18-a441-7dd943e06c30,fedex,2021-02-11 17:49:57,2021-02-12 17:49:57,delivered
