order_id,user_id,promo_id,address_id,created_at,order_cost,shipping_cost,order_total,tracking_id,shipping_service,estimated_delivery_at,delivered_at,status
8329a65b-7ddf-4250-aeee-bd625f8a401a,b3367c91-53bd-4aac-ab6d-0a596fe382c2,,d2fbe240-64ac-4feb-a360-8a9197f8b8ae,2021-02-11 23:30:34,551.90,5.16,557.06,1b2b3cff-dec1-47f6-a507-a64de9ddc663,ups,2021-02-12 23:30:34,2021-02-17 23:30:34,delivered
f3ab84e6-dec5-43b4-9aa7-45b9988bff58,5faf7aa9-ca1a-44b6-bc00-5954bc39cc91,,4a9bcc05-a07b-4507-9d42-a2325a4844fa,2021-02-11 15:13:09,121.00,2.72,123.72,02039212-f3fa-4bac-abf3-d2ea8365b837,usps,2021-02-16 15:13:09,2021-02-13 15:13:09,delivered
8385cfcd-2b3f-443a-a676-9756f7eb5404,96aa719e-c5a3-4645-ba89-16c304fb59b0,,1ceb9167-9852-45a7-8109-57b077d8a2e0,2021-02-11 02:19:17,205.50,1.44,206.94,,,,,preparing
55164b42-78d3-4c4e-9dd3-cce61b956403,aa2bd310-8be1-4b6c-a852-2789d8652ac7,,c8e06217-c625-471f-8cdc-88c3e39f6b2c,2021-02-11 23:35:14,45.00,8.07,53.07,23c92052-e262-45bf-86af-312cb12ac472,usps,2021-02-14 23:35:14,2021-02-15 23:35:14,delivered
e1ecd50e-033d-4d0c-bcff-137c2eb494dd,97fec509-ddfd-468b-8c39-ece964fdbcf1,,23f4d3fc-7192-44eb-a1c6-c3d93eed0a42,2021-02-11 07:08:04,150.00,3.18,153.18,5613e809-7492-416f-9b18-14d9371d2cb7,fedex,2021-02-16 07:08:04,,shipped
e24985f3-2fb3-456e-a1aa-aaf88f490d70,b9287f6c-c865-49bb-a3c9-da47bbdf3a90,,027e0a9d-2bb0-4247-8989-365339741a93,2021-02-11 10:11:14,256.25,7.94,264.19,,,,,preparing
96b4a784-2348-428c-bf1a-b1622c88d0d7,4136ab42-d31d-4f07-b3ef-6d63526b769b,,609af927-16f8-450a-ade4-1e06724e9feb,2021-02-11 14:47:12,121.90,7.71,129.61,12bc4385-869c-4533-8c05-47afbaec6e09,ups,2021-02-15 14:47:12,2021-02-13 14:47:12,delivered
38c516e8-b23a-493a-8a5c-bf7b2b9ea995,96ca8e55-2cbd-4c9b-9540-ff0ac6309797,Mandatory,0314fc1b-d832-4562-bda4-7dbe09d2868c,2021-02-11 16:11:14,213.85,8.88,202.73,,,,,preparing
19c066e5-c505-4814-8e68-ac6ab2971a67,d055abf7-ba8e-463b-975a-c5cb10f6d8eb,,cc3b5481-169f-4fa0-8818-8d8e728773cd,2021-02-11 10:25:50,441.00,2.52,443.52,49d89a2e-a177-42c8-95cf-37570edf5b08,ups,2021-02-14 10:25:50,2021-02-12 10:25:50,delivered
f5df9a3a-9a21-4648-a03f-bdaf633969e4,2f0a3789-41ac-4732-bf29-b3ea5f4ed831,,c1661061-176f-4e18-96a3-3ae16fdee80b,2021-02-11 04:49:17,398.05,4.92,402.97,fb2c538e-c110-47a1-9337-0a1a7687f922,ups,2021-02-13 04:49:17,2021-02-16 04:49:17,delivered
